RATIO,COMPARE,exact_result,convert_result,my_result,chain_strength,uniform_original_chain_strength,scaled_original_chain_strength,uniform_converted_chain_strength,scaled_converted_chain_strength
0.23,AC,-95.0,-95.00000000000013,-95.00000000000013,24.61,39.990388495237205,10.0,40.13410244582031,24.61
0.23,AC,-94.0,-94.00000000000009,-94.00000000000009,25.990000000000002,42.446924788493206,10.0,42.43804385241619,25.990000000000002
0.23,AC,-78.0,-78.00000000000007,-78.00000000000009,23.92,39.72385735394944,10.0,39.223505991479534,23.92
0.23,AC,-99.0,-91.00000000000009,-99.00000000000009,27.6,43.07790703055724,10.0,44.57562580035566,27.6
0.23,WA,-95.0,-90.99999999999987,-90.99999999999986,26.450000000000003,42.83876632210596,10.0,43.099563977956905,26.450000000000003
0.23,AC,-95.0,-95.00000000000009,-95.00000000000009,25.990000000000002,41.79935975586229,10.0,42.27704848992654,25.990000000000002
0.23,AC,-106.0,-106.00000000000009,-106.00000000000009,27.6,43.17989597640704,10.0,44.600288688452835,27.6
0.23,AC,-82.0,-81.99999999999997,-81.99999999999997,22.540000000000003,38.85482955428202,10.0,37.32587281975703,22.540000000000003
0.23,WA,-109.0,-107.00000000000006,-99.00000000000004,27.37,43.23850775716788,10.0,44.33027714394606,27.37
0.23,AC,-113.0,-113.00000000000013,-113.00000000000013,26.91,42.91670531622855,10.0,43.68431884953227,26.91
0.23,AC,-85.0,-85.0,-85.0,23.46,39.54924614666164,10.0,38.61925029368006,23.46
0.23,AC,-94.0,-93.99999999999997,-93.99999999999997,25.53,40.55423558643412,10.0,41.404463893841196,25.53
0.23,AC,-91.0,-88.99999999999991,-90.99999999999991,25.07,39.84011541147942,10.0,40.662499702310484,25.07
0.23,WA,-96.0,-95.9999999999999,-93.9999999999999,25.76,41.432164799826715,10.0,41.90358539707074,25.76
0.23,AC,-88.0,-88.0,-88.0,23.0,39.81667023129498,10.0,38.131644222049,23.0
RATIO,COMPARE,exact_result,convert_result,my_result,chain_strength,uniform_original_chain_strength,scaled_original_chain_strength,uniform_converted_chain_strength,scaled_converted_chain_strength
0.25,AC,-104.0,-104.0,-104.0,28.0,40.715904902138675,10.0,44.51935188207483,28.0
0.25,AC,-84.0,-78.0,-84.0,27.0,40.861344320669474,10.0,43.30094743678337,27.0
0.25,AC,-115.0,-115.0,-115.0,29.0,42.41057228569309,10.0,46.16444732042181,29.0
0.25,AC,-97.0,-97.0,-97.0,28.75,42.26147044294601,10.0,45.81630416402003,28.75
0.25,AC,-102.0,-102.0,-102.0,29.0,42.16155045852401,10.0,46.10738682973333,29.0
0.25,AC,-102.0,-102.0,-102.0,29.75,43.22925854865737,10.0,47.294636280625596,29.75
0.25,AC,-86.0,-82.0,-86.0,25.5,38.910206515475124,10.0,40.970822444383884,25.5
0.25,WA,-89.0,-87.0,-85.0,25.5,38.92996491136358,10.0,40.97551453002146,25.5
0.25,AC,-91.0,-91.0,-91.0,25.25,39.150577690992776,10.0,40.717709238544046,25.25
0.25,AC,-86.0,-86.0,-86.0,25.5,40.29279776833572,10.0,41.303566879871276,25.5
0.25,AC,-85.0,-85.0,-85.0,24.25,38.284606145189834,10.0,39.27082348478418,24.25
0.25,AC,-103.0,-103.0,-103.0,27.75,42.01065831428972,10.0,44.507120051178326,27.75
0.25,WA,-89.0,-89.0,-85.0,26.0,39.36995426815889,10.0,41.70239826160157,26.0
0.25,AC,-101.0,-99.0,-101.0,28.5,41.221365479566536,100.25,WA,-103.0,-101.0,-101.0,30.75,43.52732072618299,10.0,48.623150789001734,30.75
.0,45.26377849892781,28.5
RATIO,COMPARE,exact_result,convert_result,my_result,chain_strength,uniform_original_chain_strength,scaled_original_chain_strength,uniform_converted_chain_strength,scaled_converted_chain_strength
0.5,WA,-91.0,-85.0,-89.0,51.0,39.63470773489782,10.0,74.78740876850655,51.0
0.5,WA,-97.0,-89.0,-91.0,59.0,41.47626210737896,10.0,85.96492049435048,59.0
0.5,WA,-86.0,-76.0,-84.0,51.0,38.910206515475124,10.0,74.69223546506845,51.0
0.5,WA,-102.0,-96.0,-96.0,58.5,41.88468904026863,10.0,85.32886237961925,58.5
0.5,WA,-93.0,-89.0,-91.0,56.5,41.27676125860652,10.0,82.51372392517501,56.5
0.5,WA,-86.0,-82.0,-82.0,51.0,38.47295464049038,10.0,74.6355883991833,51.0
0.5,WA,-106.0,-96.0,-102.0,62.0,44.46949445481326,10.0,90.44369634345261,62.0
0.5,AC,-93.0,-87.0,-93.0,55.5,41.075328661075666,10.0,81.11988156521092,55.5
0.5,WA,-95.0,-91.0,-93.0,52.5,41.32171564686055,10.0,77.05651348847805,52.5
0.5,WA,-98.0,-98.0,-94.0,54.0,40.17921671710388,10.0,78.95461417802002,54.0
0.5,WA,-98.0,-86.0,-92.0,56.0,41.34935559352769,10.0,81.83854933953802,56.0
0.5,AC,-98.0,-90.0,-98.0,63.5,44.096249914628046,10.0,92.45639153208032,63.5
0.5,AC,-101.0,-91.0,-101.0,56.0,41.79935975586229,10.0,81.89568044164477,56.0
0.5,AC,-86.0,-86.0,-86.0,50.5,39.49087084377856,10.0,74.0867185735743,50.5
0.5,AC,-82.0,-80.0,-82.0,50.0,39.138790673507216,10.0,73.35837534900942,50.0
RATIO,COMPARE,exact_result,convert_result,my_result,chain_strength,uniform_original_chain_strength,scaled_original_chain_strength,uniform_converted_chain_strength,scaled_converted_chain_strength
0.5,WA,-108.0,-98.0,-106.0,59.0,42.901173230266465,10.0,86.13956780790889,59.0
0.5,WA,-83.0,-83.0,-77.0,53.5,40.57806680765058,10.0,78.32251322232668,53.5
0.5,WA,-112.0,-106.0,-106.0,58.5,41.460190396732784,10.0,85.27701805254058,58.5
0.5,WA,-103.0,-99.0,-101.0,59.5,42.90428009728944,10.0,86.82485820124711,59.5
0.5,AC,-97.0,-87.0,-97.0,52.0,39.40119407015282,10.0,76.12148387635688,52.0
0.5,WA,-105.0,-105.0,-103.0,61.0,43.29396151274062,10.0,88.92887209375067,61.0
0.5,WA,-101.0,-101.0,-97.0,56.0,41.833512355526636,10.0,81.9000399572552,56.0
0.5,WA,-97.0,-91.0,-95.0,59.0,42.355985031633956,10.0,86.07209096449323,59.0
0.5,AC,-113.0,-107.0,-113.0,59.5,43.084095051422395,10.0,86.84711567231234,59.5
0.5,WA,-105.0,-101.0,-103.0,60.5,43.41079792555457,10.0,88.25765436002328,60.5
0.5,WA,-99.0,-89.0,-89.0,58.5,42.13941425949503,10.0,85.36021040000624,58.5
0.5,AC,-87.0,-87.0,-87.0,52.5,39.80508045656792,10.0,76.8566609510097,52.5
0.5,WA,-80.0,-78.0,-78.0,51.0,39.553134770253614,10.0,74.77661140716702,51.0
0.5,AC,-100.0,-96.0,-100.0,58.5,41.888780474012364,10.0,85.32936448491807,58.5
0.5,WA,-85.0,-85.0,-81.0,52.5,40.27370798768004,10.0,76.9176710110832,52.5
RATIO,COMPARE,exact_result,convert_result,my_result,chain_strength,uniform_original_chain_strength,scaled_original_chain_strength,uniform_converted_chain_strength,scaled_converted_chain_strength
4,WA,-106.0,-96.0,-92.0,440,41.72754831043875,10.0,622.5097289777888,440.0
4,WA,-84.0,-84.0,-78.0,412,39.16236116084304,10.0,582.8969868312265,412.0
4,WA,-99.0,-93.0,-89.0,476,42.07610380568365,10.0,673.3927143382728,476.0
4,WA,-99.0,-79.0,-87.0,440,41.46317561403129,10.0,622.5053126945986,440.0
4,WA,-108.0,-96.0,-94.0,504,44.523415047216076,10.0,713.0036170720781,504.0
4,WA,-93.0,-93.0,-81.0,428,40.699173040171786,10.0,605.5340308649369,428.0
4,WA,-90.0,-86.0,-82.0,412,39.81667023129498,10.0,582.9080685932189,412.0
4,WA,-107.0,-89.0,-97.0,472,42.12608175465645,10.0,667.7402864549958,472.0
4,WA,-99.0,-85.0,-91.0,480,42.09510693972242,10.0,679.0462708144908,480.0
4,AC,-101.0,-99.0,-101.0,456,41.75149918266409,10.0,645.1218517280281,456.0
4,WA,-98.0,-82.0,-86.0,452,40.82099646015516,10.0,639.4538207110814,452.0
4,WA,-107.0,-79.0,-87.0,428,40.319508276916125,10.0,605.5276810773584,428.0
4,WA,-112.0,-106.0,-94.0,488,43.98729539007068,10.0,690.3824168987311,488.0
4,WA,-117.0,-97.0,-97.0,500,43.404656481380734,10.0,707.3330128384131,500.0
4,WA,-97.0,-93.0,-93.0,416,40.63109520097592,10.0,588.5747154357784,416.0
RATIO,COMPARE,exact_result,convert_result,my_result,chain_strength,uniform_original_chain_strength,scaled_original_chain_strength,uniform_converted_chain_strength,scaled_converted_chain_strength
4,WA,-1748.0,-1748.0,-1458.0,2896,299.922477492657,100.0,4097.688950647954,2896.0
4,WA,-1136.0,-1136.0,-1128.0,2728,265.43457952271405,97.0,3859.6744578611288,2728.0
4,AC,-1081.0,-1081.0,-1081.0,2372,256.75763823341265,96.0,3356.464030086096,2372.0
4,AC,-1323.0,-1323.0,-1323.0,2624,283.1907011142845,100.0,3713.036826668354,2624.0
4,WA,-1350.0,-1350.0,-1210.0,2552,260.17907389488494,100.0,3610.872140412507,2552.0
4,WA,-2092.0,-1560.0,-1720.0,3776,317.3599021897169,100.0,5341.621419435813,3776.0
4,WA,-1801.0,-1801.0,-1579.0,2748,281.1128967811094,100.0,3888.213343782484,2748.0
4,AC,-1048.0,-1048.0,-1048.0,2364,239.56014540653462,99.0,3344.8413735531317,2364.0
4,AC,-1215.0,-1067.0,-1215.0,2352,257.3614192305514,100.0,3328.2165577094124,2352.0
4,WA,-2045.0,-2045.0,-1891.0,3552,314.2549389078873,99.0,5024.985229076897,3552.0
4,WA,-1970.0,-1922.0,-1950.0,3800,303.6144803872173,100.0,5375.344052074732,3800.0
4,AC,-1818.0,-1514.0,-1818.0,3248,309.43024358973054,100.0,4595.277235216173,3248.0
4,AC,-1229.0,-1229.0,-1229.0,2128,236.756977971928,96.0,3011.3196978598266,2128.0
4,WA,-1350.0,-1350.0,-1216.0,2840,273.33890462407817,100.0,4018.0849812809174,2840.0
4,WA,-1295.0,-1295.0,-1235.0,2684,282.2770434718346,100.0,3797.7994882950047,2684.0
RATIO,exact_result,convert_result,my_result,chain_strength,uniform_original_chain_strength,scaled_original_chain_strength,uniform_converted_chain_strength,scaled_converted_chain_strength
0.23,-1279.0,-1279.0000000000002,-1279.0000000000002,147.20000000000002,280.42368715499055,100.0,250.9620563034181,147.20000000000002
0.23,-1491.0,-1491.0000000000005,-1491.0000000000005,182.39000000000001,281.1358288755427,99.0,293.7200538568591,182.39000000000001
0.23,-1496.0,-1496.0000000000005,-1496.0000000000005,172.96,287.5338085605471,98.0,283.6920464319134,172.96
0.23,-1332.0,-1331.9999999999998,-1331.9999999999998,134.32,259.6005418607596,98.0,230.04551255938551,134.32
0.23,-1375.0,-1374.9999999999995,-1374.9999999999995,148.12,252.41961324026238,100.0,244.52961499236307,148.12
0.23,-1839.0,-1838.9999999999995,-1838.9999999999995,151.57,282.98568722046065,98.0,256.81370411274685,151.57
0.23,-2163.0,-2163.0,-2163.0,212.75,326.28840591721917,100.0,342.2189611509712,212.75
0.23,-2227.0,-2227.0,-2227.0,208.84,333.4715334357641,100.0,339.1205746619595,208.84
0.23,-2486.0,-2485.999999999999,-2485.999999999999,209.99,313.86978145721514,100.0,335.847474703532,209.99
0.23,-1534.0,-1534.0000000000002,-1534.0000000000002,176.41,293.46433657033464,100.0,289.40025679818297,176.41
0.23,-1478.0,-1477.9999999999995,-1477.9999999999995,183.77,290.5956348444805,100.0,297.714432996244,183.77
0.23,-1609.0,-1609.0000000000005,-1609.0000000000005,167.44,283.6794367532949,98.0,275.9961577130962,167.44
0.23,-2113.0,-2113.0,-2113.0,176.41,290.86921999255424,100.0,288.74453277933566,176.41
0.23,-1613.0,-1612.9999999999995,-1612.9999999999995,176.87,294.54166451963965,100.0,290.23403815605843,176.87
0.23,-1259.0,-1258.9999999999995,-1258.9999999999995,160.54000000000002,278.0485180048019,98.0,266.19233806373967,160.54000000000002
RATIO,exact_result,convert_result,my_result,chain_strength,uniform_original_chain_strength,scaled_original_chain_strength,uniform_converted_chain_strength,scaled_converted_chain_strength
0.23,-87.0,-84.99999999999996,-86.99999999999996,23.69,39.99011378597696,10.0,39.011479408367045,23.69
0.23,-97.0,-96.99999999999996,-96.99999999999996,24.84,41.41837476289961,10.0,40.77436643943839,24.84
0.23,-93.0,-90.99999999999993,-88.99999999999993,27.830000000000002,41.79001985482498,10.0,44.555038284026494,27.830000000000002
0.23,-100.0,-99.9999999999999,-99.9999999999999,25.76,40.150771250375755,10.0,41.59056993032916,25.76
0.23,-99.0,-99.00000000000009,-91.00000000000009,26.68,41.66246939392815,10.0,43.0947235548669,26.68
0.23,-102.0,-101.99999999999993,-93.99999999999993,27.830000000000002,43.352419078985655,10.0,44.92669648020429,27.830000000000002
0.23,-99.0,-90.99999999999991,-98.99999999999994,29.21,43.832479543522666,10.0,46.757399610937874,29.21
0.23,-103.0,-103.00000000000009,-103.00000000000009,25.990000000000002,40.68432449973822,10.0,42.00423520336491,25.990000000000002
0.23,-90.0,-89.99999999999997,-89.99999999999997,25.53,41.15388452737247,10.0,41.55212000920622,25.53
0.23,-100.0,-99.9999999999999,-97.99999999999991,25.76,41.741236205939074,10.0,41.98019889340212,25.76
0.23,-98.0,-95.99999999999986,-97.99999999999984,26.450000000000003,41.67275176899169,10.0,42.81281350355289,26.450000000000003
0.23,-92.0,-92.00000000000003,-92.00000000000003,23.23,39.41290261205956,10.0,38.305144364762846,23.23
0.23,-106.0,-104.0,-106.0,28.060000000000002,42.84521109918042,10.0,45.09079352727044,28.060000000000002
0.23,-99.0,-91.00000000000014,-99.00000000000016,24.61,40.31051589846005,10.0,40.214087197543094,24.61
0.23,-85.0,-85.0,-85.0,23.46,39.905413343979355,10.0,38.710738550072406,23.46
RATIO,COMPARE,exact_result,convert_result,my_result,chain_strength,uniform_original_chain_strength,scaled_original_chain_strength,uniform_converted_chain_strength,scaled_converted_chain_strength
0.23,AC,-105.0,-97.00000000000009,-105.00000000000009,26.68,40.62812095088818,10.0,42.84712256698692,26.68
0.23,AC,-104.0,-94.00000000000007,-104.00000000000007,25.3,40.841982322115555,10.0,41.19235688377153,25.3
0.23,AC,-112.0,-111.9999999999999,-111.9999999999999,25.76,42.03444787314328,10.0,42.05327693687616,25.76
0.23,AC,-95.0,-94.99999999999997,-94.99999999999997,25.53,41.05472966662915,10.0,41.52759120556355,25.53
0.23,AC,-111.0,-104.99999999999991,-110.9999999999999,25.76,41.20750489898654,10.0,41.848166197930354,25.76
0.23,AC,-98.0,-98.00000000000004,-98.00000000000004,26.220000000000002,41.56981356705849,10.0,42.50381049984107,26.220000000000002
0.23,AC,-105.0,-99.00000000000004,-105.00000000000004,27.37,42.18367504141857,10.0,44.075468725725436,27.37
0.23,AC,-82.0,-82.00000000000007,-82.00000000000007,23.92,40.41475884262693,10.0,39.399560842366284,23.92
