RATIO,COMPARE,exact_result,convert_result,my_result,chain_strength,uniform_original_chain_strength,scaled_original_chain_strength,uniform_converted_chain_strength,scaled_converted_chain_strength
0.23,AC,-90.0,-90.00000000000009,-90.00000000000009,24.61,41.07158415779417,10.0,40.40615228451346,24.61
0.23,AC,-107.0,-103.00000000000007,-107.00000000000007,28.290000000000003,43.23850775716788,10.0,45.470396331132484,28.290000000000003
0.23,WA,-110.0,-110.0,-108.0,28.060000000000002,43.01907643825004,10.0,45.132160005760866,28.060000000000002
0.23,AC,-83.0,-83.00000000000003,-83.00000000000003,23.46,39.486976088520436,10.0,38.60331715937694,23.46
0.23,AC,-85.0,-85.00000000000007,-85.00000000000007,23.92,39.78189077766608,10.0,39.238207399879244,23.92
0.23,WA,-98.0,-87.99999999999993,-95.9999999999999,27.830000000000002,42.83898857193837,10.0,44.80340089871602,27.830000000000002
0.23,WA,-104.0,-95.99999999999991,-95.99999999999991,25.76,41.7001590404641,10.0,41.969991840952275,25.76
RATIO,COMPARE,exact_result,convert_result,my_result,chain_strength,uniform_original_chain_strength,scaled_original_chain_strength,uniform_converted_chain_strength,scaled_converted_chain_strength
0.5,AC,-101.0,-87.0,-101.0,55.5,41.19363965468456,10.0,81.13487854184535,55.5
0.5,AC,-99.0,-99.0,-99.0,54.5,40.36716165399791,10.0,79.6623054147945,54.5
0.5,WA,-96.0,-92.0,-88.0,55.5,41.421592848818996,10.0,81.16388739786515,55.5
0.5,WA,-88.0,-80.0,-84.0,52.0,40.4756015701007,10.0,76.26228009058858,52.0
0.5,AC,-104.0,-98.0,-104.0,55.5,41.41837476289962,10.0,81.16347682917483,55.5
0.5,WA,-93.0,-79.0,-87.0,52.0,40.342388922819126,10.0,76.2446317454547,52.0
0.5,WA,-88.0,-88.0,-82.0,49.5,37.95781233868018,10.0,72.52047247767084,49.5
0.5,WA,-86.0,-80.0,-78.0,51.0,38.45696089436564,10.0,74.63352769571924,51.0
0.5,WA,-93.0,-85.0,-85.0,54.0,40.097655584642546,10.0,78.94424761720231,54.0
0.5,AC,-97.0,-97.0,-97.0,51.0,39.626946115762415,10.0,74.78638051554161,51.0
0.5,WA,-87.0,-81.0,-83.0,56.5,40.782224959109136,10.0,82.45222464648145,56.5
0.5,AC,-91.0,-85.0,-91.0,58.5,41.38042846564061,10.0,85.26733211494306,58.5
0.5,AC,-103.0,-101.0,-103.0,58.5,41.98095910608363,10.0,85.34068896409651,58.5
0.5,WA,-101.0,-99.0,-91.0,61.0,42.42336653307938,10.0,88.82391582788951,61.0
0.5,WA,-90.0,-90.0,-86.0,54.0,40.634880295324905,10.0,79.01289205030939,54.0
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.5,AC,-1132.0,-1132.0,-1132.0,310.0
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.5,AC,-2033.0,-2033.0,-2033.0,414.0
0.5,AC,-1472.0,-1472.0,-1472.0,406.5
0.5,AC,-1776.0,-1776.0,-1776.0,415.0
0.5,AC,-1927.0,-1927.0,-1927.0,399.0
0.5,AC,-1252.0,-1252.0,-1252.0,356.5
0.5,AC,-2810.0,-2810.0,-2810.0,436.5
0.5,AC,-1362.0,-1362.0,-1362.0,289.5
0.5,AC,-1296.0,-1296.0,-1296.0,307.5
0.5,AC,-2162.0,-2162.0,-2162.0,426.0
0.5,AC,-1873.0,-1873.0,-1873.0,421.0
0.5,AC,-1356.0,-1356.0,-1356.0,355.0
0.5,AC,-1189.0,-1189.0,-1189.0,314.0
0.5,AC,-1930.0,-1930.0,-1930.0,474.0
0.5,AC,-1815.0,-1815.0,-1815.0,419.5
0.5,AC,-1849.0,-1849.0,-1849.0,416.0
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.5,WA,-96.0,-96.0,-94.0,50.0
0.5,AC,-86.0,-84.0,-86.0,52.0
0.5,AC,-88.0,-88.0,-88.0,53.5
0.5,WA,-96.0,-92.0,-88.0,54.5
0.5,WA,-82.0,-82.0,-78.0,50.5
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.5,WA,-93.0,-91.0,-87.0,58.5
0.5,WA,-113.0,-113.0,-103.0,60.0
0.5,WA,-102.0,-102.0,-94.0,62.0
0.5,AC,-95.0,-93.0,-95.0,61.5
0.5,WA,-108.0,-108.0,-104.0,60.5
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.5,WA,-106.0,-106.0,-98.0,64.5
0.5,WA,-106.0,-104.0,-100.0,61.0
0.5,WA,-83.0,-83.0,-79.0,52.0
0.5,WA,-85.0,-85.0,-81.0,54.0
0.5,AC,-110.0,-108.0,-110.0,61.0
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.5,AC,-94.0,-94.0,-92.0,52.5
0.5,AC,-107.0,-107.0,-107.0,60.5
0.5,AC,-104.0,-104.0,-104.0,55.0
0.5,WA,-110.0,-100.0,-100.0,61.0
0.5,AC,-86.0,-86.0,-86.0,53.0
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.5,AC,-45.0,-45.0,-45.0,30.5
0.5,AC,-47.0,-47.0,-47.0,29.5
0.5,AC,-48.0,-48.0,-48.0,30.5
0.5,AC,-58.0,-58.0,-58.0,38.5
0.5,AC,-60.0,-60.0,-60.0,39.0
0.5,AC,-44.0,-44.0,-44.0,29.5
0.5,AC,-65.0,-65.0,-65.0,42.0
0.5,AC,-50.0,-50.0,-50.0,35.0
0.5,AC,-64.0,-64.0,-64.0,38.5
0.5,AC,-60.0,-60.0,-60.0,38.0
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.5,AC,-73.0,-73.0,-71.0,48.0
0.5,AC,-98.0,-98.0,-96.0,53.0
0.5,AC,-72.0,-72.0,-72.0,42.0
0.5,AC,-81.0,-81.0,-81.0,53.0
0.5,AC,-70.0,-70.0,-64.0,45.5
0.5,AC,-88.0,-88.0,-78.0,50.0
0.5,AC,-62.0,-62.0,-62.0,40.5
0.5,AC,-77.0,-77.0,-75.0,45.5
0.5,AC,-89.0,-89.0,-89.0,48.0
0.5,AC,-89.0,-89.0,-89.0,48.5
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.25,AC,-86.0,-86.0,-86.0,25.75
0.25,AC,-87.0,-87.0,-87.0,25.75
0.25,AC,-90.0,-90.0,-90.0,26.75
0.25,AC,-81.0,-81.0,-81.0,25.0
0.25,AC,-71.0,-71.0,-71.0,22.25
0.25,AC,-74.0,-74.0,-74.0,24.0
0.25,AC,-71.0,-71.0,-71.0,21.5
0.25,AC,-91.0,-91.0,-91.0,24.75
0.25,AC,-71.0,-71.0,-71.0,20.75
0.25,AC,-86.0,-86.0,-86.0,26.25
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.23,AC,-78.0,-78.00000000000006,-77.99999999999997,22.540000000000003
0.23,AC,-70.0,-70.00000000000006,-69.99999999999999,20.470000000000002
0.23,AC,-84.0,-83.99999999999989,-83.99999999999993,21.39
0.23,AC,-74.0,-74.0,-73.99999999999996,20.470000000000002
0.23,AC,-86.0,-86.0,-85.99999999999991,21.85
0.23,AC,-82.0,-81.99999999999994,-82.00000000000003,23.46
0.23,AC,-76.0,-75.99999999999994,-75.99999999999999,20.01
0.23,AC,-87.0,-87.00000000000003,-87.00000000000006,20.93
0.23,AC,-80.0,-80.0,-79.99999999999991,21.85
0.23,AC,-88.0,-87.99999999999994,-87.99999999999996,23.69
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.22,AC,-91.0,,-90.99999999999996,22.88
0.22,AC,-68.0,,-68.00000000000001,19.580000000000002
0.22,AC,-70.0,,-70.00000000000007,18.92
0.22,AC,-68.0,,-68.00000000000006,18.92
0.22,AC,-89.0,,-88.99999999999997,23.76
0.22,AC,-79.0,,-79.00000000000006,20.68
0.22,AC,-89.0,,-88.99999999999994,22.44
0.22,AC,-89.0,,-89.0,23.1
0.22,AC,-72.0,,-72.00000000000001,19.8
0.22,AC,-85.0,,-84.99999999999991,23.32
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.22,AC,-84.0,,-84.00000000000003,20.02
0.22,AC,-90.0,,-89.99999999999996,22.44
0.22,AC,-74.0,,-74.00000000000006,20.9
0.22,AC,-87.0,,-87.0,21.78
0.22,AC,-64.0,,-64.00000000000004,20.24
0.22,AC,-87.0,,-87.00000000000004,21.34
0.22,AC,-92.0,,-91.99999999999996,22.88
0.22,AC,-75.0,,-75.00000000000006,21.34
0.22,AC,-70.0,,-70.00000000000003,19.8
0.22,AC,-87.0,,-86.99999999999991,23.32
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.22,AC,-90.0,,-89.99999999999991,23.32
0.22,AC,-72.0,,-72.00000000000001,19.580000000000002
0.22,AC,-76.0,,-76.00000000000007,19.36
0.22,AC,-81.0,,-81.00000000000006,20.46
0.22,AC,-74.0,,-73.99999999999999,22.66
0.22,AC,-80.0,,-80.0,22.0
0.22,AC,-61.0,,-61.00000000000007,18.92
0.22,AC,-91.0,,-91.00000000000003,20.24
0.22,AC,-80.0,,-80.00000000000001,20.24
0.22,AC,-75.0,,-75.00000000000007,18.92
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.22,AC,-89.0,,-88.99999999999991,23.32
0.22,AC,-84.0,,-84.00000000000004,21.34
0.22,AC,-72.0,,-72.0,18.48
0.22,AC,-76.0,,-75.99999999999994,18.04
0.22,AC,-76.0,,-76.00000000000004,20.02
0.22,AC,-70.0,,-69.99999999999996,17.82
0.22,AC,-76.0,,-75.99999999999999,18.7
0.22,AC,-80.0,,-80.00000000000003,23.54
0.22,AC,-73.0,,-73.00000000000003,20.24
0.22,AC,-65.0,,-65.00000000000006,19.36
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.22,AC,-75.0,,-75.00000000000001,25.080000000000002
0.22,AC,-76.0,,-75.99999999999996,22.88
0.22,WA,-77.0,,-74.99999999999993,24.64
0.22,AC,-71.0,,-70.99999999999991,23.32
0.22,AC,-86.0,,-85.99999999999997,26.4
0.22,AC,-86.0,,-86.00000000000004,26.62
0.22,AC,-79.0,,-79.00000000000007,24.86
0.22,AC,-95.0,,-94.99999999999996,26.84
0.22,AC,-78.0,,-77.99999999999997,24.2
0.22,AC,-92.0,,-92.00000000000004,26.62
0.22,AC,-76.0,,-76.00000000000004,25.3
0.22,AC,-71.0,,-70.99999999999991,23.32
0.22,AC,-90.0,,-90.0,26.84
0.22,AC,-71.0,,-71.0,22.22
0.22,AC,-94.0,,-93.99999999999996,26.84
0.22,AC,-85.0,,-84.99999999999991,26.84
0.22,AC,-73.0,,-72.99999999999996,22.88
0.22,AC,-73.0,,-73.00000000000009,24.42
0.22,AC,-72.0,,-71.99999999999991,23.1
0.22,AC,-77.0,,-76.99999999999993,24.64
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.22,AC,-91.0,,-91.00000000000004,26.62
0.22,AC,-72.0,,-71.99999999999999,22.66
0.22,AC,-73.0,,-72.99999999999996,22.88
0.22,AC,-70.0,,-69.99999999999996,22.44
0.22,AC,-77.0,,-77.00000000000009,24.86
0.22,AC,-73.0,,-72.99999999999991,23.32
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.22,AC,-77.0,,-76.99999999999993,24.64
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.22,AC,-77.0,,-76.99999999999993,24.64
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.22,WA,-174.0,,-167.99999999999972,54.78
0.22,WA,-142.0,,-139.99999999999986,49.28
0.22,AC,-148.0,,-148.0000000000002,49.72
0.22,WA,-177.0,,-188.20000000000016,56.76
0.22,WA,-178.0,,-181.40000000000026,57.42
0.22,AC,-147.0,,-146.99999999999994,48.18
0.22,AC,-145.0,,-145.00000000000014,49.72
0.22,AC,-170.0,,-170.0000000000001,53.24
0.22,AC,-178.0,,-178.00000000000023,57.2
0.22,WA,-146.0,,-142.00000000000014,48.84
0.22,AC,-170.0,,-169.9999999999998,53.9
0.22,AC,-169.0,,-168.9999999999999,49.06
0.22,AC,-147.0,,-147.0,49.5
0.22,AC,-141.0,,-140.99999999999994,49.06
0.22,AC,-146.0,,-145.99999999999983,49.28
0.22,AC,-140.0,,-139.99999999999991,50.38
0.22,AC,-146.0,,-145.99999999999994,49.06
0.22,AC,-166.0,,-166.00000000000006,53.46
0.22,AC,-161.0,,-161.0,49.5
0.22,WA,-149.0,,-144.99999999999986,49.28
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.22,WA,-149.0,,-144.99999999999983,49.28
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.22,AC,-149.0,,-148.99999999999986,49.28
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.22,WA,-149.0,,-144.99999999999986,49.28
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.22,AC,-149.0,,-148.99999999999986,49.28
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.22,AC,-174.0,,-173.99999999999972,54.78
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.22,WA,-174.0,,-169.99999999999974,54.78
0.22,AC,-142.0,,-141.99999999999986,49.28
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.22,WA,-177.0,,-188.20000000000016,56.76
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.22,WA,-177.0,,-188.20000000000016,56.76
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.22,WA,-177.0,,-188.20000000000016,56.76
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.22,WA,-177.0,,-188.20000000000016,56.76
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.25,AC,-177.0,,-177.0,64.5
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.23,AC,-177.0,,-177.00000000000028,59.34
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.22,WA,-177.0,,-188.20000000000016,56.76
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.25,AC,-149.0,,-149.0,56.0
0.25,AC,-172.0,,-172.0,60.25
0.25,AC,-170.0,,-170.0,61.5
0.25,WA,-177.0,,-175.0,64.25
0.25,AC,-174.0,,-174.0,62.25
0.25,WA,-164.0,,-158.0,60.0
0.25,AC,-150.0,,-150.0,56.75
0.25,AC,-171.0,,-171.0,65.5
0.25,WA,-167.0,,-165.0,59.75
0.25,AC,-166.0,,-166.0,61.75
0.25,WA,-180.0,,-178.0,65.0
0.25,AC,-166.0,,-166.0,64.25
0.25,AC,-145.0,,-145.0,56.5
0.25,AC,-176.0,,-176.0,64.75
0.25,AC,-167.0,,-167.0,62.25
0.25,AC,-171.0,,-171.0,60.75
0.25,AC,-147.0,,-147.0,56.25
0.25,AC,-150.0,,-150.0,55.5
0.25,WA,-144.0,,-138.0,57.25
0.25,AC,-163.0,,-163.0,60.5
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.25,AC,-169.0,,-169.0,60.25
0.25,AC,-147.0,,-147.0,55.5
0.25,AC,-173.0,,-173.0,64.5
0.25,WA,-168.0,,-164.0,67.0
0.25,AC,-166.0,,-166.0,60.0
0.25,AC,-177.0,,-177.0,60.25
0.25,AC,-171.0,,-171.0,61.0
0.25,AC,-148.0,,-148.0,56.5
0.25,AC,-169.0,,-169.0,59.5
0.25,AC,-149.0,,-149.0,56.0
0.25,AC,-167.0,,-167.0,59.75
0.25,WA,-142.0,,-140.0,56.25
0.25,AC,-165.0,,-165.0,60.0
0.25,AC,-176.0,,-176.0,61.5
0.25,AC,-185.0,,-185.0,66.5
0.25,WA,-172.0,,-170.0,65.25
0.25,AC,-190.0,,-190.0,65.75
0.25,WA,-171.0,,-165.0,60.5
0.25,AC,-166.0,,-166.0,60.0
0.25,AC,-161.0,,-161.0,55.5
RATIO,COMPARE,exact_result,convert_cpu_result,my_result,chain_strength
0.25,AC,-177.0,,-177.0,66.75
0.25,AC,-171.0,,-171.0,59.75
0.25,AC,-180.0,,-180.0,60.0
0.25,AC,-139.0,,-139.0,56.0
0.25,AC,-168.0,,-168.0,60.0
0.25,WA,-180.0,,-176.0,65.75
0.25,WA,-170.0,,-168.0,60.5
0.25,AC,-147.0,,-147.0,55.75
0.25,AC,-184.0,,-184.0,65.5
0.25,AC,-148.0,,-148.0,55.5
0.25,WA,-141.0,,-139.0,56.5
0.25,AC,-149.0,,-149.0,56.5
0.25,WA,-179.0,,-175.0,66.25
0.25,AC,-150.0,,-150.0,56.0
0.25,AC,-187.0,,-187.0,65.25
0.25,WA,-175.0,,-173.0,64.0
0.25,AC,-171.0,,-171.0,64.75
0.25,AC,-178.0,,-178.0,65.5
0.25,AC,-135.0,,-135.0,50.25
